,year,counts
0,1979,3044
1,1988,2295
2,2003,1713
3,1999,1578
4,1990,1506
5,1997,1505
6,2000,1495
7,1986,1374
8,2001,1286
9,2006,1221
10,2002,1025
11,1993,976
12,1987,914
13,1991,869
14,1994,717
15,1974,691
16,1996,573
17,1995,484
18,1998,481
19,1981,458
20,1977,420
21,2010,418
22,1984,402
23,2011,390
24,1985,377
25,1992,372
26,1983,359
27,1982,344
28,1975,336
29,2009,318
30,2004,263
31,1978,260
32,2008,259
33,2005,244
34,2007,236
35,1980,143
36,1989,135
37,1969,67
38,1937,52
39,1968,52
40,1976,50
41,1971,47
42,1970,46
43,1965,45
44,1938,44
45,1940,37
46,1962,36
47,1950,36
48,1936,35
49,1967,34
50,1963,33
51,1939,32
52,1972,31
53,1964,31
54,1933,30
55,1973,29
56,1961,27
57,1934,26
58,1960,26
59,1956,25
60,1932,25
61,1966,24
62,1941,23
63,1903,22
64,1955,22
65,1949,21
66,1887,21
67,1954,21
68,1890,20
69,1942,20
70,1917,19
71,1916,19
72,1948,19
73,1935,19
74,1951,19
75,1910,19
76,1921,18
77,1930,18
78,1944,18
79,1957,18
80,1914,18
81,1958,18
82,1924,18
83,1898,17
84,1952,17
85,1947,17
86,1931,17
87,1868,16
88,1959,16
89,1927,16
90,1925,16
91,1907,16
92,1923,16
93,1928,16
94,1900,16
95,1918,15
96,1922,15
97,1929,15
98,1889,15
99,1863,15
100,1888,15
101,1919,14
102,2012,14
103,1899,14
104,1880,14
105,1879,14
106,1920,14
107,1905,14
108,1915,13
109,1908,13
110,1906,13
111,1875,13
112,1926,13
113,1902,12
114,1893,12
115,1897,12
116,1866,12
117,1912,12
118,1869,12
119,1946,12
120,1904,11
121,1860,11
122,1911,11
123,1884,11
124,1892,11
125,1913,11
126,1945,11
127,1886,10
128,1895,10
129,1883,10
130,1894,10
131,1943,10
132,1891,10
133,1909,10
134,1857,10
135,1854,9
136,1873,9
137,1855,9
138,1877,9
139,1878,9
140,1881,9
141,1901,9
142,1876,9
143,1896,9
144,1953,9
145,1882,9
146,1852,8
147,1850,8
148,1865,8
149,1858,8
150,1867,8
151,1885,7
152,1871,7
153,1838,7
154,1840,7
155,1846,7
156,1874,6
157,1843,6
158,1872,6
159,1856,6
160,1822,6
161,1861,6
162,1870,6
163,1839,5
164,1810,5
165,1837,5
166,1847,5
167,1853,5
168,1859,5
169,1836,5
170,1808,5
171,1804,5
172,1814,5
173,1818,5
174,1848,4
175,1812,4
176,1864,4
177,1842,4
178,1844,4
179,1829,4
180,1841,4
181,1824,3
182,1803,3
183,1834,3
184,1851,3
185,1845,3
186,1827,3
187,1849,3
188,1811,3
189,1805,3
190,1825,3
191,1819,3
192,1826,3
193,1862,3
194,1815,2
195,1807,2
196,1831,2
197,1823,2
198,1784,2
199,1796,2
200,1830,2
201,1835,2
202,1813,2
203,1795,2
204,1753,2
205,1768,2
206,1828,2
207,1798,2
208,1688,1
209,1821,1
210,1833,1
211,1715,1
212,1792,1
213,1600,1
214,1583,1
215,1794,1
216,1751,1
217,1632,1
218,1621,1
219,1817,1
220,1741,1
221,860,1
222,1809,1
223,1623,1
224,1793,1
225,1797,1
226,1820,1
227,1776,1
228,1790,1
229,1668,1
230,1832,1
231,1787,1
232,1637,1
233,1785,1
234,1740,1
235,1773,1
236,1749,1
237,1575,1
238,1781,1
239,1490,1
240,1801,1
241,1806,1
242,1766,1
243,1716,1
244,1723,1
245,1671,1
246,1724,1
247,2013,1
248,1491,1
249,1628,1
250,1775,1
251,1399,1
